By administrative divisions,By industry,Number of establishment (EA),Number of workers (In Person)
Seoul,All industries,823385,5210936
Seoul,"Agriculture, forestry and fishing",30,462
Seoul,Mining and quarrying,24,81
Seoul,Manufacturing,58970,266500
Seoul,"Electricity, gas, steam and air conditioning supply",183,6083
Seoul,"Water supply; sewage, waste management, materials recovery",451,9139
Seoul,Construction,21825,379353
Seoul,Wholesale and retail trade,223955,896326
Seoul,Transportation and storage,95412,272618
Seoul,Accommodation and food service activities,130595,495092
Seoul,Information and communication,23384,357761
Seoul,Financial and insurance activities,11220,262273
Seoul,Real estate activities,41282,158063
Seoul,"Professional, scientific and technical activities",41654,463519
Seoul,Business facilities management and business support services; rental and leasing activities,16198,496433
Seoul,Public administration and defence; compulsory social security,1282,140121
Seoul,Education,35377,346219
Seoul,Human health and social work activities,28824,378366
Seoul,"Arts, sports and recreation related services",23025,91104
Seoul,"Membership organizations, repair and other personal services ",69694,191423
Gyeonggi-do,All industries,909032,5174364
Gyeonggi-do,"Agriculture, forestry and fishing",522,4820
Gyeonggi-do,Mining and quarrying,94,1454
Gyeonggi-do,Manufacturing,132785,1317605
Gyeonggi-do,"Electricity, gas, steam and air conditioning supply",276,8568
Gyeonggi-do,"Water supply; sewage, waste management, materials recovery",2255,27224
Gyeonggi-do,Construction,30361,284619
Gyeonggi-do,Wholesale and retail trade,209233,735964
Gyeonggi-do,Transportation and storage,90679,250124
Gyeonggi-do,Accommodation and food service activities,154477,503155
Gyeonggi-do,Information and communication,7117,114719
Gyeonggi-do,Financial and insurance activities,7208,103879
Gyeonggi-do,Real estate activities,41103,122637
Gyeonggi-do,"Professional, scientific and technical activities",21528,260658
Gyeonggi-do,Business facilities management and business support services; rental and leasing activities,14535,213523
Gyeonggi-do,Public administration and defence; compulsory social security,1863,119126
Gyeonggi-do,Education,45488,383886
Gyeonggi-do,Human health and social work activities,34409,412597
Gyeonggi-do,"Arts, sports and recreation related services",28561,112954
Gyeonggi-do,"Membership organizations, repair and other personal services ",86538,196852
